route_id,dataset_id,layer,family,variant,execution_kind,run_count,training_seeds,inference_seeds,status,priority,replication_unit,config_state,method_config,matrix_config,protocol_config,parameters,resolved_training,server_plan,output_template,train_run_ids,result_family,evidence_artifact_ids,compatibility_report,swanlab_project,swanlab_run_template,parent_route_id,paper_role,acceptance_gate,notes
D1I.SOTA.karyoflow,D1_INHOUSE1700_V2,Detector comparison,SOTA,karyoflow,full_train,3,"42,123,789",42,RUNNING,P0,independent_training_seed,READY,experiments/configs/methods/karyoflow.py,experiments/configs/matrices/d1_inhouse1700.yaml,,RF; shifted t; AdaLN-Zero; DPM++ 4-step; K=500; 6 heads,"{""base_lr"": 5e-05, ""batch_size"": 2, ""config_id"": ""v2.d1.karyoflow_r50.train"", ""max_epochs"": 150, ""method_id"": ""karyoflow_r50"", ""optimizer"": ""AdamW"", ""output_template"": ""work_dirs/v2/d1/karyoflow_r50/trainseed_{training_seed}"", ""scientific_config_sha256"": ""5102e030f547b152169af3c179feca9cf0304cbf3d2af2ed419d114103a8568d""}",42=workstation:A5000:0;123=workstation:A4000:1;789=ross:A6000:0,work_dirs/v2/d1/karyoflow_r50/trainseed_{training_seed},d1-inhouse1700-v2__karyoflow-r50__trainseed-42__5102e030f547;d1-inhouse1700-v2__karyoflow-r50__trainseed-123__5102e030f547,sota_d1i_test,,,KaryoFlow-Self1700-V2,{variant}_seed{training_seed},,Main two-cohort detector table,3 distinct checkpoint SHA; same manifest/config/protocol; six test metrics,Canonical v2 seed 42 and 123 runs are active; seed 789 remains planned.
D1I.SOTA.diffusiondet,D1_INHOUSE1700_V2,Detector comparison,SOTA,diffusiondet,full_train,3,"42,123,789",42,PLANNED,P0,independent_training_seed,READY,experiments/configs/methods/diffusiondet_ddpm.py,experiments/configs/matrices/d1_inhouse1700.yaml,,DDPM; DDIM 1-step; linear t; scale-shift; K=500; 6 heads,"{""base_lr"": 5e-05, ""batch_size"": 2, ""config_id"": ""v2.d1.diffusiondet_ddpm_r50.train"", ""max_epochs"": 150, ""method_id"": ""diffusiondet_ddpm_r50"", ""optimizer"": ""AdamW"", ""output_template"": ""work_dirs/v2/d1/diffusiondet_ddpm_r50/trainseed_{training_seed}"", ""scientific_config_sha256"": ""78c13c85e64b4d0819fcf1cfbf83ccdb79c5eb8c138e13763d1f23c994c3b419""}",42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/v2/d1/diffusiondet_ddpm_r50/trainseed_{training_seed},,sota_d1i_test,,,KaryoFlow-Self1700-V2,{variant}_seed{training_seed},,Main two-cohort detector table,3 distinct checkpoint SHA; same manifest/config/protocol; six test metrics,No active v2 run is currently registered.
D1I.SOTA.dino_r50,D1_INHOUSE1700_V2,Detector comparison,SOTA,dino_r50,full_train,3,"42,123,789",42,PLANNED,P0,independent_training_seed,READY,experiments/configs/methods/dino_r50.py,experiments/configs/matrices/d1_inhouse1700.yaml,,R50; 900 queries; 6 encoder/decoder layers,"{""base_lr"": 2.5e-05, ""batch_size"": 2, ""config_id"": ""v2.d1.dino_r50.train"", ""max_epochs"": 150, ""method_id"": ""dino_r50"", ""optimizer"": ""AdamW"", ""output_template"": ""work_dirs/v2/d1/dino_r50/trainseed_{training_seed}"", ""scientific_config_sha256"": ""4503b53e5ec6d28c5c4d325ecefaf508bd5c2d7fa277b4db77a7d62728807cd7""}",42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/v2/d1/dino_r50/trainseed_{training_seed},,sota_d1i_test,,,KaryoFlow-Self1700-V2,{variant}_seed{training_seed},,Main two-cohort detector table,3 distinct checkpoint SHA; same manifest/config/protocol; six test metrics,No active v2 run is currently registered.
D1I.SOTA.rtmdet_l,D1_INHOUSE1700_V2,Detector comparison,SOTA,rtmdet_l,full_train,3,"42,123,789",42,PLANNED,P0,independent_training_seed,READY,experiments/configs/methods/rtmdet_l.py,experiments/configs/matrices/d1_inhouse1700.yaml,,RTMDet-L; inherited benchmark optimizer,"{""base_lr"": 0.0001, ""batch_size"": 2, ""config_id"": ""v2.d1.rtmdet_l.train"", ""max_epochs"": 150, ""method_id"": ""rtmdet_l"", ""optimizer"": ""AdamW"", ""output_template"": ""work_dirs/v2/d1/rtmdet_l/trainseed_{training_seed}"", ""scientific_config_sha256"": ""c91bbb84281b8e106271e25cc290dea02470ecfa5afec3c7eb12a7be41d1d652""}",42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/v2/d1/rtmdet_l/trainseed_{training_seed},,sota_d1i_test,,,KaryoFlow-Self1700-V2,{variant}_seed{training_seed},,Main two-cohort detector table,3 distinct checkpoint SHA; same manifest/config/protocol; six test metrics,No active v2 run is currently registered.
D1I.SOTA.cascade_rcnn_r50,D1_INHOUSE1700_V2,Detector comparison,SOTA,cascade_rcnn_r50,full_train,3,"42,123,789",42,PLANNED,P0,independent_training_seed,READY,experiments/configs/methods/cascade_rcnn_r50.py,experiments/configs/matrices/d1_inhouse1700.yaml,,Cascade R-CNN R50; 3 stages,"{""base_lr"": 0.0001, ""batch_size"": 2, ""config_id"": ""v2.d1.cascade_rcnn_r50.train"", ""max_epochs"": 150, ""method_id"": ""cascade_rcnn_r50"", ""optimizer"": ""AdamW"", ""output_template"": ""work_dirs/v2/d1/cascade_rcnn_r50/trainseed_{training_seed}"", ""scientific_config_sha256"": ""9065db00f5969d3dfaff160185c4caf1ac5d7715dd29c88d8187cadb7e772615""}",42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/v2/d1/cascade_rcnn_r50/trainseed_{training_seed},,sota_d1i_test,,,KaryoFlow-Self1700-V2,{variant}_seed{training_seed},,Main two-cohort detector table,3 distinct checkpoint SHA; same manifest/config/protocol; six test metrics,No active v2 run is currently registered.
D1I.SOTA.yolox_s,D1_INHOUSE1700_V2,Detector comparison,SOTA,yolox_s,full_train,3,"42,123,789",42,PLANNED,P0,independent_training_seed,READY,experiments/configs/methods/yolox_s.py,experiments/configs/matrices/d1_inhouse1700.yaml,,YOLOX-S,"{""base_lr"": 0.0001, ""batch_size"": 2, ""config_id"": ""v2.d1.yolox_s.train"", ""max_epochs"": 200, ""method_id"": ""yolox_s"", ""optimizer"": ""AdamW"", ""output_template"": ""work_dirs/v2/d1/yolox_s/trainseed_{training_seed}"", ""scientific_config_sha256"": ""e660557b5251ffda8018ccb29f133be7a5e510fd57ca9725c2a1613e3a08118b""}",42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/v2/d1/yolox_s/trainseed_{training_seed},,sota_d1i_test,,,KaryoFlow-Self1700-V2,{variant}_seed{training_seed},,Main two-cohort detector table,3 distinct checkpoint SHA; same manifest/config/protocol; six test metrics,No active v2 run is currently registered.
D1I.SOTA.karyoflow_lqcr,D1_INHOUSE1700_V2,Decision,SOTA,karyoflow_lqcr,short_train,3,"42,123,789",42,BLOCKED_PARENT,P0,paired_final_stage_intervention,READY,experiments/configs/methods/karyoflow_lqcr.py,experiments/configs/matrices/d1_inhouse1700.yaml,,parent-matched final-only quality head; beta=2 selected on validation,"{""base_lr"": 0.001, ""batch_size"": 2, ""config_id"": ""v2.d1.karyoflow_lqcr_r50.train"", ""max_epochs"": 12, ""method_id"": ""karyoflow_lqcr_r50"", ""optimizer"": ""AdamW"", ""output_template"": ""work_dirs/v2/d1/karyoflow_lqcr_r50/trainseed_{training_seed}"", ""scientific_config_sha256"": ""bddd7d3d27412a963deae97b625e722c284e6de67185a1f0202d6c0ea0851687""}",42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/v2/d1/karyoflow_lqcr_r50/trainseed_{training_seed},,paired_lqcr_d1i_train3,,,KaryoFlow-Self1700-V2,{variant}_seed{training_seed},D1I.SOTA.karyoflow,Independent decision contribution,parent checkpoint identity; 590 shared tensors unchanged; paired test delta,No active v2 run is currently registered.
D1I.ABL.G0,D1_INHOUSE1700_V2,Generation,Training ablation,DDPM_linear_scaleshift,full_train,3,"42,123,789",42,PLANNED,P0,independent_training_seed,READY,experiments/configs/methods/strict_g0_ddpm_linear_scaleshift.py,experiments/configs/matrices/d1_inhouse1700_generation_ablation.yaml,,DDPM; DDIM1; linear t; scale-shift,"{""base_lr"": 5e-05, ""batch_size"": 2, ""config_id"": ""v2.d1_generation.strict_g0_ddpm_linear_scaleshift_r50.train"", ""max_epochs"": 150, ""method_id"": ""strict_g0_ddpm_linear_scaleshift_r50"", ""optimizer"": ""AdamW"", ""output_template"": ""work_dirs/v2/d1_generation/strict_g0_ddpm_linear_scaleshift_r50/trainseed_{training_seed}"", ""scientific_config_sha256"": ""78c13c85e64b4d0819fcf1cfbf83ccdb79c5eb8c138e13763d1f23c994c3b419""}",42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/v2/d1_generation/strict_g0_ddpm_linear_scaleshift_r50/trainseed_{training_seed},,generation_train_ablation_d1i_test,,,KaryoFlow-Self1700-V2,{variant}_seed{training_seed},,Strict incremental generation ablation,only named factor changes; batch/optimizer/augmentation/selection fixed,No active v2 run is currently registered.
D1I.ABL.G1,D1_INHOUSE1700_V2,Generation,Training ablation,RF_linear_scaleshift,full_train,3,"42,123,789",42,PLANNED,P0,independent_training_seed,READY,experiments/configs/methods/strict_g1_rf_linear_scaleshift.py,experiments/configs/matrices/d1_inhouse1700_generation_ablation.yaml,,RF; Euler/locked validation protocol; linear t; scale-shift,"{""base_lr"": 5e-05, ""batch_size"": 2, ""config_id"": ""v2.d1_generation.strict_g1_rf_linear_scaleshift_r50.train"", ""max_epochs"": 150, ""method_id"": ""strict_g1_rf_linear_scaleshift_r50"", ""optimizer"": ""AdamW"", ""output_template"": ""work_dirs/v2/d1_generation/strict_g1_rf_linear_scaleshift_r50/trainseed_{training_seed}"", ""scientific_config_sha256"": ""09e5cb88a93357ba23d7a5d47b1adfc821532d89c0d6ce19e471833287e0e4c1""}",42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/v2/d1_generation/strict_g1_rf_linear_scaleshift_r50/trainseed_{training_seed},,generation_train_ablation_d1i_test,,,KaryoFlow-Self1700-V2,{variant}_seed{training_seed},D1I.ABL.G0,Strict incremental generation ablation,only named factor changes; batch/optimizer/augmentation/selection fixed,No active v2 run is currently registered.
D1I.ABL.G2,D1_INHOUSE1700_V2,Generation,Training ablation,RF_shifted_scaleshift,full_train,3,"42,123,789",42,PLANNED,P0,independent_training_seed,READY,experiments/configs/methods/strict_g2_rf_shifted_scaleshift.py,experiments/configs/matrices/d1_inhouse1700_generation_ablation.yaml,,RF; shifted t (shift=3); scale-shift,"{""base_lr"": 5e-05, ""batch_size"": 2, ""config_id"": ""v2.d1_generation.strict_g2_rf_shifted_scaleshift_r50.train"", ""max_epochs"": 150, ""method_id"": ""strict_g2_rf_shifted_scaleshift_r50"", ""optimizer"": ""AdamW"", ""output_template"": ""work_dirs/v2/d1_generation/strict_g2_rf_shifted_scaleshift_r50/trainseed_{training_seed}"", ""scientific_config_sha256"": ""203180b73f2d9a9fe6d23e386a669d1a3f73c2b898da720d80ee237b105dc083""}",42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/v2/d1_generation/strict_g2_rf_shifted_scaleshift_r50/trainseed_{training_seed},,generation_train_ablation_d1i_test,,,KaryoFlow-Self1700-V2,{variant}_seed{training_seed},D1I.ABL.G1,Strict incremental generation ablation,only named factor changes; batch/optimizer/augmentation/selection fixed,No active v2 run is currently registered.
